code_rome,libelle
A1413,Brasseur / Brasseuse de bière
A1414,Horticulteur / Horticultrice
A1415,Marin-pêcheur
A1416,Agriculteur / Agricultrice
A1417,Saliculteur / Salicultrice
A1501,Auxiliaire vétérinaire
A1502,Maréchal-ferrant / Maréchale-ferrante
A1503,Toiletteur / Toiletteuse d'animaux
A1504,Vétérinaire
A1201,Bûcheron / Bûcheronne
A1202,Agent / Agente d'entretien des espaces naturels
A1203,Agent / Agente d'entretien des espaces verts
A1204,Garde Forestier / Forestière
A1205,Sylviculteur / Sylvicultrice
A1301,Technicien / Technicienne de culture maraîchère
A1302,Technicien / Technicienne agricole
A1303,Ingénieur / Ingénieure agronome
A1401,Vendangeur / Vendangeuse
A1402,Aide horticole
A1403,Aide d'élevage agricole
A1404,Aquaculteur / Aquacultrice
A1405,Arboriculteur / Arboricultrice
A1406,Capitaine de pêche
A1407,Éleveur / Éleveuse de bovins
A1408,Éleveur / Éleveuse d'animaux
A1409,Aviculteur / Avicultrice
A1410,Éleveur / Éleveuse d'ovins
A1411,Éleveur / Éleveuse de porcins
B1101,Artiste Plasticien / Plasticienne
B1201,Céramiste d'art
B1301,Étalagiste
B1302,Décorateur / Décoratrice d'objets d'art
B1303,Graveur / Graveuse d'art
B1401,Vannier / Vannière
A1101,Conducteur / Conductrice d'engins agricoles
D1205,Employé / Employée de pressing
D1206,Cordonnier / Cordonnière
D1207,Retoucheur / Retoucheuse en habillement
D1208,Esthéticien / Esthéticienne
D1209,Fleuriste
D1210,Vendeur / Vendeuse en animalerie
D1211,Vendeur / Vendeuse d'articles de sport et loisirs
D1212,Vendeur / Vendeuse en équipement de la maison
B1402,Relieur / Relieuse d'art
B1501,Facteur / Factrice d'instruments de musique
B1601,Métallier / Métallière d'art
B1602,Souffleur / Souffleuse de verre
B1603,Opérateur / Opératrice en orfèvrerie et bijouterie
B1604,Horloger / Horlogère
C1301,Trader
C1302,Gestionnaire des opérations sur les marchés financiers
C1104,Responsable d'agence en assurances
C1105,Actuaire
C1106,Expert / Experte risques en assurances
C1107,Chargé / Chargée d'indemnisations en assurances
C1108,Responsable de département en assurances
C1109,Gestionnaire en assurances
C1110,Souscripteur / Souscriptrice en assurances
C1201,Chargé / Chargée d'accueil en banque
C1202,Analyste de crédits et risques bancaires
C1203,Chargé / Chargée d'affaires bancaires entreprise
C1204,Gestionnaire de produits bancaires
C1205,Conseiller / Conseillère en gestion de patrimoine
C1206,Conseiller / Conseillère de clientèle bancaire
C1207,Directeur / Directrice d'agence bancaire
D1213,Vendeur / Vendeuse grossiste de matériels et équipements
D1214,Vendeur / Vendeuse en prêt-à-porter
D1301,Responsable de magasin
D1401,Assistant commercial / Assistante commerciale
D1402,Commercial / Commerciale grands comptes et entreprises
D1403,Commercial / Commerciale auprès des particuliers
D1404,Commercial / Commerciale en automobiles
D1405,Conseiller / Conseillère en information médicale
D1406,Responsable des ventes
D1407,Technico-commercial / Technico-commerciale
F1603,Plombier / Plombière
C1303,Gérant / Gérante de portefeuille financier
C1401,Agent administratif / Agente administrative banque ou assurance
C1501,Gestionnaire de copropriété
C1502,Chargé / Chargée de gestion locative en immobilier
C1503,Chargé / Chargée d'affaires immobilières
B1701,Taxidermiste
B1801,Chapelier / Chapelière
B1802,Maroquinier / Maroquinière
B1803,Couturier / Couturière
B1804,Brodeur / Brodeuse
B1805,Styliste
B1806,Tapissier / Tapissière d'ameublement
C1101,Chargé / Chargée de produit en assurances
C1102,Conseiller / Conseillère en assurances
C1103,Courtier / Courtière en assurance
D1103,Charcutier-traiteur / Charcutière-traiteuse
D1104,Pâtissier / Pâtissière
D1105,Poissonnier / Poissonnière
D1106,Épicier / Épicière
D1107,Grossiste en produits frais
D1201,Brocanteur / Brocanteuse
D1202,Coiffeur / Coiffeuse
D1203,Agent thermal / Agente thermale
D1204,Loueur / Loueuse de véhicules
D1507,Employé / Employée de libre-service
D1508,Responsable de caisses
D1509,Responsable de département en grande distribution
E1101,Animateur / Animatrice de communauté virtuelle
E1102,Écrivain / Écrivaine
E1103,Chargé / Chargée des relations publiques
E1104,Concepteur / Conceptrice de contenus multimedia
E1105,Éditeur / Éditrice
F1106,Ingénieur / Ingénieure d'études BTP
